,Company Name,Company Rating,Company Type,Company Locations
0,TCS,3.8,IT Services & Consulting , Mumbai +349 more
1,Accenture,4.0,IT Services & Consulting , Dublin +180 more
2,Cognizant,3.9,IT Services & Consulting , Teaneck. New Jersey. +174 more
3,Wipro,3.8,IT Services & Consulting , Bangalore/Bengaluru +278 more
4,Capgemini,3.8,IT Services & Consulting , Paris +144 more
5,HDFC Bank,4.0,Banking , Mumbai +1561 more
6,ICICI Bank,4.0,Banking , Mumbai +1302 more
7,Infosys,3.8,IT Services & Consulting , Bengaluru/Bangalore +182 more
8,HCLTech,3.7,IT Services & Consulting , Noida +184 more
9,Tech Mahindra,3.7,IT Services & Consulting , Pune +271 more
10,Genpact,3.9,IT Services & Consulting , New York +118 more
11,Axis Bank,3.9,Banking , Mumbai +1325 more
12,Teleperformance,3.8,BPO , Paris +193 more
13,Concentrix Corporation,3.9,BPO , Fremont +118 more
14,Jio,4.0,Telecom , Navi Mumbai +1179 more
15,Amazon,4.1,Internet , Seattle +455 more
16,IBM,4.1,IT Services & Consulting , Armonk +149 more
17,Reliance Retail,4.0,Retail , Navi Mumbai +1017 more
18,HDB Financial Services,4.0,NBFC , Ahmedabad +963 more
19,Larsen & Toubro Limited,4.1,Engineering & Construction , Mumbai +627 more
20,Vodafone Idea,4.2,Telecom , Mumbai +640 more
21,BYJU'S,3.1,EdTech , Bangalore +307 more
22,Kotak Mahindra Bank,3.8,Banking , Mumbai +576 more
23,Deloitte,3.9,Management Consulting , London +142 more
24,Reliance Industries,4.1,Oil & Gas , Navi Mumbai +694 more
25,iEnergizer,4.7,BPO , Noida +31 more
26,Bharti Airtel,4.1,Telecom , Gurgaon/Gurugram +667 more
27,Tata Motors,4.2,Automobile , Pune +439 more
28,WNS,3.5,BPO , Mumbai +40 more
29,Flipkart,4.0,Internet , Bangalore +516 more
30,IndusInd Bank,3.7,Banking , Gurgaon/Gurugram +692 more
31,Ernst & Young,3.6,Management Consulting , London +96 more
